alpha,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std
5.000000000000000278e-02,1.000000000000000000e+00,5.990981430074836744e+00,2.944339383812853272e-03,5.337224994765065178e-01,9.939955567206919529e-01,2.501990971490362980e+00,2.982569677165956890e+00,9.899999999999980815e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+00,6.000366409979897675e+00,1.197122817075250284e-02,2.279742506940354740e+00,1.180639673336019824e+00,3.949271080105975162e+00,3.280174106405133738e+00,1.029999999999997939e+01,0.000000000000000000e+00
5.000000000000000278e-02,3.000000000000000000e+00,5.997750671715158965e+00,1.083842283559544734e-02,2.226372428787605440e+00,1.301100094467977586e+00,4.402338049384947105e+00,3.863281438576958049e+00,1.039999999999997904e+01,0.000000000000000000e+00
5.000000000000000278e-02,4.000000000000000000e+00,5.999572331619659415e+00,1.086058812751803174e-02,2.309680548281948020e+00,1.071080305901856544e+00,4.100779318231558612e+00,3.195015453076649692e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000000e+00,5.998677195841720433e+00,1.016526984361446756e-02,2.180449116020913625e+00,1.188866285132026857e+00,4.186461813184912728e+00,3.873706658440387862e+00,1.009999999999998010e+01,0.000000000000000000e+00
5.000000000000000278e-02,6.000000000000000000e+00,5.998363019695213794e+00,1.176861173685506134e-02,2.367165736199345005e+00,1.118953746468899890e+00,4.281885574049555387e+00,3.928149149620035363e+00,1.079999999999997762e+01,0.000000000000000000e+00
5.000000000000000278e-02,7.000000000000000000e+00,5.995729767204885263e+00,1.177668571123484213e-02,2.221343664777239102e+00,1.251885570398270087e+00,4.203158340579610019e+00,3.370038380636475761e+00,9.699999999999981526e+00,0.000000000000000000e+00
5.000000000000000278e-02,8.000000000000000000e+00,5.996572745722703601e+00,1.048777975282183007e-02,2.223047530683444961e+00,1.225699394728199332e+00,3.626016371624380508e+00,3.377816212441007604e+00,1.009999999999998010e+01,0.000000000000000000e+00
5.000000000000000278e-02,9.000000000000000000e+00,5.999046495448970617e+00,1.058246748901818524e-02,2.070658469765632947e+00,1.117400709058907315e+00,4.155200464368449254e+00,3.524212716754367758e+00,8.699999999999985079e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.000000000000000000e+01,5.997657938649775922e+00,1.076389769517684461e-02,2.124637240522923687e+00,1.104633711715503841e+00,4.456194441067615308e+00,3.749073119675895516e+00,9.699999999999981526e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.100000000000000000e+01,5.996893073232569371e+00,1.081104014809681872e-02,2.170214336364332475e+00,1.212794801480483686e+00,3.734860070321930348e+00,3.436811161867355136e+00,9.499999999999982236e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.200000000000000000e+01,5.999360014467501223e+00,1.047317540956770043e-02,2.197946887324406351e+00,1.149636084823599580e+00,3.864070921819613869e+00,3.190816998267309135e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000278e-02,1.300000000000000000e+01,5.998660786825665170e+00,1.079465681210951475e-02,2.147827030194817244e+00,1.093853608851520498e+00,3.738374249643774405e+00,3.196419311574392186e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000278e-02,1.400000000000000000e+01,5.998656464788643561e+00,1.199696937365513257e-02,2.011730760645153548e+00,1.238233274717218446e+00,3.849359701311417581e+00,3.312516541801807435e+00,1.069999999999997797e+01,0.000000000000000000e+00
5.000000000000000278e-02,1.500000000000000000e+01,5.999635739138553525e+00,1.234939558507044781e-02,2.430968102926812424e+00,1.189074271693134399e+00,4.810565359782611239e+00,4.303343011998549628e+00,9.499999999999982236e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.600000000000000000e+01,5.998548739065838298e+00,1.068461151984119277e-02,2.240759038385109925e+00,1.210143531910923054e+00,3.944434320079055478e+00,3.312626565561557879e+00,9.599999999999981881e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.700000000000000000e+01,5.998133264747073312e+00,1.068418701576744241e-02,2.160781221198693203e+00,1.200738587896680754e+00,4.098994307419355110e+00,3.719022250513169148e+00,9.699999999999981526e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.800000000000000000e+01,5.999682173582519873e+00,1.279549563728012151e-02,2.202034924767096058e+00,1.255682749923009434e+00,4.655228018671394352e+00,3.876846516737543435e+00,8.599999999999985434e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.900000000000000000e+01,5.999764545835840401e+00,1.141052304843064892e-02,2.307447035477012687e+00,1.174814767146202588e+00,4.249850693882947006e+00,3.801548526046662158e+00,1.199999999999997335e+01,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+01,5.997753643616248631e+00,1.076593425459572255e-02,2.361186942197328165e+00,1.189343809860181400e+00,4.262315927510941016e+00,3.875153719902892480e+00,9.499999999999982236e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000000e+00,5.989049504134437818e+00,6.573508060772052797e-03,7.155659975374332182e-01,1.062209514539728783e+00,1.800498728350848454e+00,2.824583617210615571e+00,1.109999999999997655e+01,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000000e+00,5.995976732933944398e+00,1.177092872386719183e-02,2.181424858910584241e+00,1.225272810626512276e+00,2.445785458005242941e+00,2.758849977871029591e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000000e-01,3.000000000000000000e+00,5.997831003584780163e+00,1.327460725071139339e-02,2.435093792647303523e+00,1.283907664149197103e+00,2.683089914722191160e+00,2.709423697993229130e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000000e-01,4.000000000000000000e+00,5.996448915489190234e+00,1.420034926794339243e-02,2.654801338592339466e+00,1.304379541708179158e+00,3.040856526777781621e+00,2.995843800257516953e+00,9.699999999999981526e+00,0.000000000000000000e+00
5.000000000000000000e-01,5.000000000000000000e+00,5.996779209715848324e+00,1.240894904082886184e-02,2.231762346497082827e+00,1.318411002567113632e+00,2.735238027145084683e+00,2.776325574779008321e+00,1.039999999999997904e+01,0.000000000000000000e+00
5.000000000000000000e-01,6.000000000000000000e+00,5.996116955830499862e+00,1.272967879234070641e-02,2.437881310533377643e+00,1.200752851868004178e+00,2.733080267139591069e+00,2.777531334800954710e+00,1.109999999999997655e+01,0.000000000000000000e+00
5.000000000000000000e-01,7.000000000000000000e+00,5.998451874507542136e+00,1.427368806624566486e-02,2.558571677228842045e+00,1.273614888512910159e+00,3.103760388865639097e+00,3.070997363280316250e+00,1.019999999999997975e+01,0.000000000000000000e+00
5.000000000000000000e-01,8.000000000000000000e+00,5.996021552127356102e+00,1.244907707627881249e-02,2.396267172006798951e+00,1.243529518702045866e+00,2.770632240343379848e+00,2.850567944168983292e+00,1.039999999999997904e+01,0.000000000000000000e+00
5.000000000000000000e-01,9.000000000000000000e+00,5.997173928788012809e+00,1.251570558901463417e-02,2.672815853621716364e+00,1.303185869044995115e+00,3.081765884256375543e+00,3.184137771324564881e+00,9.099999999999983658e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000000e+01,5.997350120180088062e+00,1.340989548142608803e-02,2.453443470374355062e+00,1.216606726810815609e+00,2.879527095402086179e+00,2.852477131264188337e+00,9.599999999999981881e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.100000000000000000e+01,5.998486173029373703e+00,1.409328723327903272e-02,2.647349182118786004e+00,1.317445892119816442e+00,3.282745435404448298e+00,2.949687834983262036e+00,1.099999999999997691e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.200000000000000000e+01,5.997267634270635916e+00,1.387962038978751873e-02,2.481130721173254283e+00,1.231664062137681537e+00,2.875476125670344718e+00,2.947003094916162524e+00,1.189999999999997371e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.300000000000000000e+01,5.999453404577481663e+00,1.361644026840790056e-02,2.395648502380291145e+00,1.332714957464906647e+00,2.821693782026152064e+00,2.845835658466363771e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.400000000000000000e+01,5.999668968247896750e+00,1.418613439103851362e-02,2.485636497956702051e+00,1.256930637402591255e+00,2.791751415710386208e+00,3.013067727575100996e+00,1.029999999999997939e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.500000000000000000e+01,5.996497421717519316e+00,1.374637588638984512e-02,2.271555920615913937e+00,1.142244080730429268e+00,2.822765070625117723e+00,2.966336485064739126e+00,9.199999999999983302e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.600000000000000000e+01,5.998363768337129365e+00,1.361194739678845030e-02,2.639145841620994304e+00,1.264049619843468530e+00,2.828567415625165449e+00,2.802514759124036914e+00,1.119999999999997620e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.700000000000000000e+01,5.998647991324475903e+00,1.361872217277186083e-02,2.368337166694493234e+00,1.276450883183144924e+00,2.894198025390014806e+00,2.736103176282867366e+00,1.129999999999997584e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.800000000000000000e+01,5.997408265259818627e+00,1.368351357372321782e-02,2.637524635640576154e+00,1.371702968807595013e+00,2.790892644104378206e+00,3.068007442754610459e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000000e-01,1.900000000000000000e+01,5.997942741458993865e+00,1.291089637589780403e-02,2.502821378534889174e+00,1.315014172837733808e+00,2.660004575593034826e+00,2.961747826623271518e+00,1.209999999999997300e+01,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000000e+01,5.997518404343977316e+00,1.352526267297423507e-02,2.417669867228179115e+00,1.337364745221552242e+00,2.834178967581493236e+00,2.838332610789700006e+00,1.189999999999997371e+01,0.000000000000000000e+00
