alpha,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std
5.000000000000000278e-02,1.000000000000000000e+00,5.984714195213806320e+00,8.636769105347047795e-03,6.901229616635841113e-01,6.856604962883947607e-01,3.903852845578776876e+00,3.214295134889203709e+00,6.299999999999993605e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+00,5.995007400854070134e+00,1.270328855630555032e-02,2.244784021740998003e+00,1.097675091131717018e+00,4.358335818640672876e+00,3.363109814283530952e+00,6.599999999999992539e+00,0.000000000000000000e+00
5.000000000000000278e-02,3.000000000000000000e+00,5.989333001745836604e+00,1.131507442566078575e-02,2.104999395116805339e+00,1.239301852246762259e+00,4.954594429554282087e+00,4.004481333635460771e+00,6.699999999999992184e+00,0.000000000000000000e+00
5.000000000000000278e-02,4.000000000000000000e+00,5.990181454777487424e+00,1.130795832666622175e-02,2.232757160222273107e+00,9.801274580317623775e-01,5.295186909564134403e+00,3.774152227124305536e+00,6.099999999999994316e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000000e+00,5.988170403046918722e+00,1.138987251697269262e-02,2.036480389037149230e+00,1.207651625535431705e+00,5.671986069574852962e+00,4.413118707654131612e+00,6.299999999999993605e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.000000000000000000e+00,5.993398410113409014e+00,1.288848671153427702e-02,2.359180227939695840e+00,1.179813998538707054e+00,4.903371710802142402e+00,4.621731405250202762e+00,6.799999999999991829e+00,0.000000000000000000e+00
5.000000000000000278e-02,7.000000000000000000e+00,5.982795325244550710e+00,1.270528740555712001e-02,2.146421256662072619e+00,1.206256251724806106e+00,5.901483162627743084e+00,4.255643576171729059e+00,6.099999999999994316e+00,0.000000000000000000e+00
5.000000000000000278e-02,8.000000000000000000e+00,5.982093770595628079e+00,1.253139779055201762e-02,2.236478976488878612e+00,1.225350591451377591e+00,5.644647566509179093e+00,3.876517379746923453e+00,5.999999999999994671e+00,0.000000000000000000e+00
5.000000000000000278e-02,9.000000000000000000e+00,5.989376371608608807e+00,1.190930250827228892e-02,2.086575354671126536e+00,1.032378243092042736e+00,5.143339405612155524e+00,4.052695785508048765e+00,5.999999999999994671e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.000000000000000000e+01,5.987517062330782736e+00,1.055373170491990566e-02,1.907158014994778439e+00,1.046208179356290735e+00,5.245075646261695645e+00,3.993792800121959363e+00,5.999999999999994671e+00,0.000000000000000000e+00
