alpha,beta,solver_type,mc_run,distance_mean,distance_std,distance_max,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.05,0.05,DG,1,0.054512500808054226,0.02716897164028041,0.11202144329145591,2.6177089676318785,1.3207610531549938,4.801853517634174,3.5563345634684413,11.599999999999975,0.0,0.999885317205004,0.0011129630625476175,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.01872938237868854,1.0
0.05,0.05,DG,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.5000000000000018,-1.0,0.9678629248229907,0.08712059949708549,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.00020338032263206296,1.0
0.05,0.05,DG,3,0.0436188772797547,0.021817358914244217,0.09235694103942471,2.5944280460786784,1.3688709486130604,3.1818803039849994,2.1800148282875464,8.699999999999985,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,4,0.037037738327337213,0.023732560447935373,0.08232307391749805,2.6418364979483107,1.2998592283510608,3.1598038382493927,2.486556677871919,9.199999999999983,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.023188162229017484,1.0
0.05,0.05,DG,5,0.041675389828053105,0.02229300147878123,0.08168991830234607,2.4270769974485806,1.35390887914885,3.2816788767857084,2.536026672061571,8.899999999999984,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,6,0.04843769194278427,0.022766370464912453,0.09209855694702895,2.814781179967042,1.2336708825808995,3.9618548246344805,3.0300817054276594,9.699999999999982,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.200000000000001,-1.0,0.9303154310966536,0.12491608228328849,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.020099176004400643,1.0
0.05,0.05,DG,8,0.04108237261282609,0.025362799951962046,0.08993975415470601,2.6790482829087354,1.3697655187419489,3.8645860572731174,3.556458141757231,9.099999999999984,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.00424644318521461,1.0
0.05,0.05,DG,9,0.04948012744361579,0.02477738647102459,0.09824295116518789,2.48730306570971,1.1588241435423663,3.7717499366887344,3.111034064007243,8.099999999999987,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.00611526257461914,1.0
0.05,0.05,DG,10,0.030481964935999223,0.0214369670231097,0.08079443866496794,2.32027457444608,1.1888427682495974,2.5060079323078055,2.630835247154923,8.599999999999985,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.005440226221847533,1.0
0.05,0.05,DG,11,0.052234553043880576,0.027199436802179955,0.11755468240502154,2.603064840140827,1.2021122261614707,4.469782276846323,3.370607810988354,11.599999999999975,0.0,0.9979857588512291,0.007828735417271263,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.014470243324653131,1.0
0.05,0.05,DG,12,0.0592849711236873,0.02839501794559042,0.12298730748130948,2.7594200789346006,1.3778891715876442,5.011420034082029,3.964985794309914,13.399999999999968,0.0,0.994063284264865,0.018228234826386306,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,13,0.0427851434655313,0.02438814367596947,0.09033084578780048,2.464298798166589,1.3393047207583884,3.5202586939806855,2.6740865945686707,8.499999999999986,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.099999999999994,-1.0,0.9988847056749657,0.008710727140639841,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.10749744986751558,1.0
0.05,0.05,DG,15,0.048863429622600624,0.024642365424776932,0.09421119133089073,2.821116875214951,1.3515755942723289,4.548560034243495,3.991384977460045,9.89999999999998,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,16,0.04258785136935573,0.02148113220239358,0.07923324668994125,2.565059285166919,1.2843098110309772,3.266473600137186,2.3567591028332786,9.499999999999982,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,17,0.04936351887791408,0.02751725906768848,0.11190150126054998,2.501852113806664,1.409089439698891,4.027596677579727,2.69122798308553,9.89999999999998,0.0,0.9992168965740124,0.00384230757708265,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.028793407327800113,1.0
0.05,0.05,DG,18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.800000000000002,-1.0,0.97636615915629,0.0716994203041047,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.499999999999993,-1.0,0.9529560123191333,0.08211871467536232,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.005367741187749464,1.0
0.05,0.05,DG,20,0.04302157640242485,0.021182655326531245,0.0880856975388582,2.7376923737789394,1.3020802163626022,3.0540319365120885,2.4468948982442873,7.599999999999989,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.05,DG,21,0.045879072105621546,0.027448625750338074,0.09180335786086546,2.6581759499327027,1.1763413351311223,3.175299917334926,3.136866870139009,9.399999999999983,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,20.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
