alpha,beta,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,6.956465111131418411e+00,3.838531577471766820e-02,6.848168220144348339e-01,5.900537723858984007e-01,3.883391458715694355e+00,2.578796101116044071e+00,8.599999999999985434e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,2.000000000000000000e+00,6.953720707534517764e+00,2.550162136794812198e-02,1.485675930779637000e+00,9.376623726492292477e-01,4.360339406391575245e+00,2.690259017515710838e+00,6.799999999999991829e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,3.000000000000000000e+00,6.958395027692946933e+00,3.696657733582927458e-02,1.478997293855590422e+00,9.867305649000994716e-01,4.451379051473838722e+00,2.735634049866351614e+00,8.299999999999986500e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,4.000000000000000000e+00,6.956465391364742956e+00,4.231465594266242691e-02,1.493803153678907814e+00,8.908110101422396232e-01,4.701971043846866927e+00,2.979633747130995935e+00,6.999999999999991118e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,5.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.409999999999996589e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,6.000000000000000000e+00,6.955457822904320686e+00,3.132392048149060249e-02,1.503400089806858464e+00,8.697050152116866384e-01,4.026446410872293491e+00,2.762829721784759496e+00,8.699999999999985079e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,7.000000000000000000e+00,6.955026136710834805e+00,3.460539971884957905e-02,1.439216988530003016e+00,9.769298807888912028e-01,4.468973289817552264e+00,3.215827766964108658e+00,8.199999999999986855e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,8.000000000000000000e+00,6.962819511467500888e+00,4.089744967573240991e-02,1.428380828246294421e+00,9.474939650632552279e-01,4.344961908916671334e+00,3.164052628669223211e+00,8.699999999999985079e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000000e+00,6.954762353043207668e+00,2.714266080556637650e-02,1.295483627955766881e+00,8.582106891863265918e-01,4.659098682263274505e+00,2.569057581425959302e+00,6.599999999999992539e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+01,6.949183278056301205e+00,2.009470523411902715e-02,1.302742556109052430e+00,7.700302076697861375e-01,4.629306493727414207e+00,2.867458359627447884e+00,6.599999999999992539e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.100000000000000000e+01,6.950060766451958472e+00,3.156779982082413838e-02,1.500966406105710638e+00,1.030820277196743406e+00,4.787162978149098969e+00,2.938656278451182935e+00,6.699999999999992184e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.200000000000000000e+01,6.958109066360526285e+00,3.607616771599359701e-02,1.409983320799345519e+00,8.267900809904431547e-01,4.028355584501150943e+00,2.923127131882685692e+00,8.799999999999984723e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
